x;y;date
1358;12;11/11/2017
1636;14;12/11/2017
2477;20;13/11/2017
2434;20;14/11/2017
2512;24;15/11/2017
2578;25;16/11/2017
2440;17;17/11/2017
1270;11;18/11/2017
1539;9;19/11/2017
2465;17;20/11/2017
2280;22;21/11/2017
2634;16;22/11/2017
2179;15;23/11/2017
2224;16;24/11/2017
1539;7;25/11/2017
1559;7;26/11/2017
2386;14;27/11/2017
2269;23;28/11/2017
2568;15;29/11/2017
2338;25;30/11/2017
1997;12;01/12/2017
1403;8;02/12/2017
1575;16;03/12/2017
2297;14;04/12/2017
2314;19;05/12/2017
2312;24;06/12/2017
2395;23;07/12/2017
2124;14;08/12/2017
1387;20;09/12/2017
1517;15;10/12/2017
2409;22;11/12/2017
2506;19;12/12/2017
2243;16;13/12/2017
2180;21;14/12/2017
1795;14;15/12/2017
1213;9;16/12/2017
1309;17;17/12/2017
2386;16;18/12/2017
2295;9;19/12/2017
2561;20;20/12/2017
2161;23;21/12/2017
1967;7;22/12/2017
1198;10;23/12/2017
1223;11;24/12/2017
1375;10;25/12/2017
1608;19;26/12/2017
1768;20;27/12/2017
1907;11;28/12/2017
1561;15;29/12/2017
1030;13;30/12/2017
835;11;31/12/2017
1153;11;01/01/2018
2043;18;02/01/2018
1929;16;03/01/2018
2119;14;04/01/2018
1812;20;05/01/2018
1151;7;06/01/2018
1287;15;07/01/2018
2441;16;08/01/2018
2337;20;09/01/2018
2994;20;10/01/2018
2519;26;11/01/2018
2252;17;12/01/2018
1357;13;13/01/2018
1614;11;14/01/2018
2509;27;15/01/2018
2407;26;16/01/2018
3099;30;17/01/2018
2523;26;18/01/2018
2150;19;19/01/2018
1401;20;20/01/2018
1354;13;21/01/2018
3219;25;22/01/2018
3175;30;23/01/2018
2798;20;24/01/2018
2368;24;25/01/2018
2661;19;26/01/2018
1639;13;27/01/2018
1664;17;28/01/2018
3177;30;29/01/2018
2680;24;30/01/2018
2973;35;31/01/2018
2867;22;01/02/2018
2960;27;02/02/2018
1848;12;03/02/2018
2213;5;04/02/2018
3197;17;05/02/2018
3001;19;06/02/2018
3476;19;07/02/2018
2977;25;08/02/2018
2675;21;09/02/2018
1911;16;10/02/2018
1886;21;11/02/2018
3048;27;12/02/2018
2718;15;13/02/2018
3165;20;14/02/2018
3024;23;15/02/2018
2698;23;16/02/2018
1725;19;17/02/2018
2546;25;18/02/2018
3148;28;19/02/2018
3266;21;20/02/2018
3340;32;21/02/2018
3099;18;22/02/2018
2999;27;23/02/2018
2108;24;24/02/2018
2112;11;25/02/2018
3111;25;26/02/2018
3277;24;27/02/2018
3267;19;28/02/2018
2830;16;01/03/2018
2856;16;02/03/2018
2031;12;03/03/2018
2080;21;04/03/2018
3052;22;05/03/2018
3104;26;06/03/2018
3484;23;07/03/2018
3044;24;08/03/2018
3092;24;09/03/2018
2126;20;10/03/2018
1909;20;11/03/2018
3549;35;12/03/2018
3198;29;13/03/2018
3738;24;14/03/2018
3609;33;15/03/2018
3068;26;16/03/2018
1739;19;17/03/2018
2188;17;18/03/2018
3777;24;19/03/2018
3801;29;20/03/2018
3942;21;21/03/2018
3499;32;22/03/2018
3379;32;23/03/2018
2010;22;24/03/2018
2247;25;25/03/2018
4085;44;26/03/2018
3722;32;27/03/2018
3333;26;28/03/2018
3478;17;29/03/2018
2660;20;30/03/2018
1912;24;31/03/2018
2216;21;01/04/2018
3269;28;02/04/2018
3426;34;03/04/2018
3685;28;04/04/2018
3551;30;05/04/2018
3047;17;06/04/2018
1513;16;07/04/2018
1886;24;08/04/2018
3251;27;09/04/2018
3280;27;10/04/2018
4135;27;11/04/2018
3855;38;12/04/2018
3656;38;13/04/2018
2256;19;14/04/2018
2490;16;15/04/2018
3924;25;16/04/2018
3959;22;17/04/2018
4169;37;18/04/2018
3796;27;19/04/2018
3967;34;20/04/2018
2267;11;21/04/2018
2523;24;22/04/2018
4692;31;23/04/2018
3883;24;24/04/2018
4330;37;25/04/2018
4330;26;26/04/2018
3854;25;27/04/2018
1939;18;28/04/2018
2414;23;29/04/2018
3743;32;30/04/2018
3283;18;01/05/2018
3923;25;02/05/2018
3626;25;03/05/2018
3407;21;04/05/2018
2107;19;05/05/2018
2319;15;06/05/2018
